Price,Close,High,Low,Open,Volume
Ticker,AAP,AAP,AAP,AAP,AAP
Date,,,,,
2021-07-29,191.95379638671875,192.18767301059802,190.06474748490476,191.7918849684853,452700
2021-07-30,190.7573699951172,194.22961168656,190.61343960690175,192.02573080509572,434600
2021-08-02,191.34210205078125,192.4305431262854,189.26414288435217,191.77387953460345,515000
2021-08-03,193.7618408203125,195.794819765845,190.53248000936392,191.69289986739844,441700
2021-08-04,188.60745239257812,193.52796082883904,188.40955154781042,192.6194260240105,495200
2021-08-05,185.61196899414062,190.64942260323457,184.52352806931205,189.51598799191217,826000
2021-08-06,185.0542755126953,187.05126518359162,184.3976119423788,186.56550351988264,521400
2021-08-09,183.97482299804688,184.99129882792408,183.6779717014058,184.47856566169543,512700
2021-08-10,187.7708740234375,188.35557230283257,183.69593961829523,183.69593961829523,408200
2021-08-11,189.9927520751953,190.68539128321055,187.4380359063273,188.19366352791275,438300
2021-08-12,188.27464294433594,190.98226660786167,187.30313335926073,190.71240054657,390400
2021-08-13,185.6929168701172,188.7153861631404,185.62995590878143,188.5894505145126,455500
2021-08-16,190.937255859375,190.99124004369617,184.06473839975644,184.85634172499658,590800
2021-08-17,186.8983154296875,189.33607269670262,185.37808342855283,189.20114654758964,513700
2021-08-18,186.76341247558594,188.87734740263045,186.2776645167964,186.81738294590048,409300
2021-08-19,187.43804931640625,188.6524396630869,184.88334669072074,185.18019796937506,380700
2021-08-20,188.616455078125,188.85933589893023,186.01677242315515,187.57299405080457,511500
2021-08-23,186.8983154296875,189.98374566435712,186.78137028315217,189.30908746688002,1122300
2021-08-24,186.90731811523438,193.10517794438317,184.43357122989121,185.84586240380105,1473200
2021-08-25,190.9193115234375,191.2431480617783,187.04226356615018,188.42756965136965,1032100
2021-08-26,187.8428497314453,190.7033940537929,187.1052168074949,190.37955755258778,679000
2021-08-27,183.3451690673828,185.86388272080669,182.61652648268523,183.3181701041333,675100
2021-08-30,180.9343719482422,183.8129114720734,180.8624067444015,183.50706965021993,549400
2021-08-31,182.47254943847656,183.32711369723268,180.16970471909,181.03327320460437,660400
2021-09-01,181.59999084472656,184.03774798524748,179.899852824342,183.32711409353348,615600
2021-09-02,180.63751220703125,182.1757391997394,179.95386339136013,182.1757391997394,492000
2021-09-03,179.40512084960938,181.12325378998878,177.83990879606563,179.6210027011623,699400
2021-09-07,179.73797607421875,181.1412632334618,177.98386712516492,178.64953496586497,574700
2021-09-08,180.07077026367188,180.36762152793725,178.24469644412514,180.13374495273877,573000
2021-09-09,181.00631713867188,182.37362840854624,179.81891199552786,180.54755445661584,631200
2021-09-10,179.9358673095703,182.60751530646573,179.8279263726318,181.87888653021395,359800
2021-09-13,179.24317932128906,181.65396500853942,177.65998640906375,181.1772076620751,542400
2021-09-14,180.96131896972656,181.02429365702326,178.01081486512254,179.9358390519795,471500
2021-09-15,185.4950714111328,185.89986367790578,180.2057455291519,181.11428050354985,528300
2021-09-16,187.73678588867188,188.7220639795792,185.57639878089535,186.28146143244786,518900
2021-09-17,186.0283966064453,188.324367798883,185.3685329878355,187.30293847516168,667200
2021-09-20,184.13916015625,185.0702047978031,181.49064421426806,183.50639958655,444100
2021-09-21,185.9018096923828,186.94132122931188,184.50071873050618,186.67014010881243,585200
2021-09-22,190.91860961914062,192.02138892030814,186.41703893984106,186.50743724309237,881400
2021-09-23,193.5218963623047,194.97722064923664,191.51517557429062,191.51517557429062,496400
2021-09-24,194.9411163330078,195.16709833363694,193.22364485251828,193.34115990655638,464300
2021-09-27,197.47207641601562,198.97258610545967,195.96250482816305,196.01675208301955,571600
2021-09-28,194.14559936523438,198.34885784930444,193.68460118213827,197.28222973407875,686800
2021-09-29,195.9444122314453,197.09239048452292,193.9648083530996,195.3658990526776,740200
2021-09-30,188.82151794433594,195.2755632639505,188.7040028915112,195.2755632639505,864200
2021-10-01,188.01699829101562,189.71638711235627,185.54023094425793,189.40000683847867,642400
2021-10-04,187.26670837402344,189.25534664487114,186.0283317830512,187.34805856039912,568800
2021-10-05,188.93902587890625,190.9457470515978,186.6520892457404,188.30627906608595,460700
2021-10-06,190.99998474121094,191.47906546670325,186.50746158168417,187.68257071307613,512600
2021-10-07,193.8925323486328,194.28121472065422,191.94004479651764,191.94004479651764,321400
2021-10-08,193.57615661621094,194.61568198952892,192.608960923757,193.22362528264804,351500
2021-10-11,191.7411651611328,194.9501116873364,191.5965471921952,193.44055387995652,418500
2021-10-12,191.6417694091797,193.07902540495297,190.37627573229707,192.59994467064408,521500
2021-10-13,190.11412048339844,192.75358826758506,185.75718143216122,191.86772900435946,920700
2021-10-14,194.2179412841797,195.41111889160288,190.11411485314582,190.9095619938131,385400
2021-10-15,194.733154296875,197.79748270074938,194.72411998453236,195.85402970530848,357200
2021-10-18,201.1420440673828,202.0459719848976,194.9682147356155,195.51961131701333,778800
2021-10-19,202.6063995361328,203.91709223632785,200.88894203833868,202.51600122873515,721100
2021-10-20,204.88430786132812,207.2164435751553,202.7419892887493,202.7419892887493,442200
2021-10-21,211.2570037841797,211.2570037841797,205.30010820922038,205.30010820922038,648300
2021-10-22,209.68414306640625,212.71230686080386,208.6717482948833,211.3835318267578,798900
2021-10-25,208.0209503173828,210.9406338289089,206.66505834825446,209.99150669194975,589400
2021-10-26,210.21746826171875,211.09427941999033,207.15315326093656,208.95197473062834,397100
2021-10-27,208.2198028564453,211.33835143636375,208.21075474978218,210.28075742019206,485800
